Year,GDP,Population,Carbon,Tech
2000,34.6,6080,6.735,1.946531792
2010,43,6840,8.926,2.07572093
2020,56,7900,11.538,2.060285714
2030,73.7,8780,13.839,1.877747626
2040,97.5,9570,16.787,1.721702564
2050,123,10300,20.205,1.642650407
2060,148,10900,23.596,1.594337838
2070,170,11400,25.962,1.527188235
2080,189,11900,27.406,1.450058201
2090,215,12200,28.337,1.317986047
2100,231,12400,28.74,1.244160173
