cum emissions (from preindustrial),temp change lower bound,temp change upper bound
1010,-0.003,0.8
2020,0.698,1.65
3010,1.12,2.56
4000,1.47,3.29
5020,2.09,3.86
6030,2.49,4.53
6610,2.72,4.98
7020,2.87,
8020,3.27,
8.59,3.5,
