Year,GDP,Population,Carbon,Tech
2000,30.4,6160,6.735,2.215460526
2010,38,6900,8.512,2.239868421
2020,48.8,7660,8.95,1.834098361
2030,64.4,8320,9.995,1.552049689
2040,81.4,8830,11.554,1.419459459
2050,102,9180,13.044,1.278803922
2060,123,9510,14.824,1.205235772
2070,147,9740,16.506,1.122857143
2080,170,9830,17.281,1.016505882
2090,192,9830,14.313,0.745473958
2100,216,9810,13.753,0.636726852
