Year,GDP,Population,Carbon,Tech
2000,31.3,6060,6.735,2.151757188
2010,41.3,6820,8.607,2.084116223
2020,52.4,7550,9.872,1.883874046
2030,68.4,8120,10.953,1.601359649
2040,88.4,8500,11.338,1.282579186
2050,109,8850,11.031,1.012045872
2060,138,8970,9.401,0.681246377
2070,172,9040,7.118,0.413848837
2080,212,9000,4.182,0.197273585
2090,268,8810,4.193,0.156440299
2100,312,8670,4.203,0.134711538
